AT onwind,AT solar,AT ocgt,CH onwind,CH solar,CH ocgt,CZ onwind,CZ solar,CZ ocgt,DE onwind,DE offwind,DE solar,DE ocgt,DK onwind,DK offwind,DK solar,DK ocgt,NL onwind,NL offwind,NL solar,NL ocgt,NO onwind,NO offwind,NO solar,NO ocgt,PL onwind,PL offwind,PL solar,PL ocgt,SE onwind,SE offwind,SE solar,SE ocgt,AT onwind g,AT solar g,AT ocgt g,CH onwind g,CH solar g,CH ocgt g,CZ onwind g,CZ solar g,CZ ocgt g,DE onwind g,DE offwind g,DE solar g,DE ocgt g,DK onwind g,DK offwind g,DK solar g,DK ocgt g,NL onwind g,NL offwind g,NL solar g,NL ocgt g,NO onwind g,NO offwind g,NO solar g,NO ocgt g,PL onwind g,PL offwind g,PL solar g,PL ocgt g,SE onwind g,SE offwind g,SE solar g,SE ocgt g,AT-CH,AT-CZ,AT-DE,CH-DE,CZ-DE,DE-DK,DE-SE,NL-DE,NL-NO,NO-DK,NO-SE,PL-CZ,PL-DE,PL-SE,SE-DK,co2_emission,objective_value,transmission,gini
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25897.0,0.0,0.0,26372.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235071.36000000004,6094145102.99495,43.5,0.07668852913535151
0.0,0.0,13736.070697270443,0.0,0.0,374.0,0.0,0.0,6218.429302729557,0.0,0.0,0.0,46165.5,3446.620768808219,0.0,0.0,299.238620686996,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,53054.28278908177,0.0,0.0,1059.0,0.0,0.0,24502.71721091823,0.0,0.0,0.0,174513.0,13437.41167132402,0.0,0.0,440.58832867597994,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6312.5,485.5706972704429,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228621.40239776453,6703559613.294447,6841.570697270443,0.1437997754107091
0.0,0.0,13615.251331370671,0.0,0.0,63.0,0.0,0.0,6650.248668629329,0.0,0.0,0.0,46165.5,3446.620768808219,0.0,0.0,299.238620686996,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,52260.005325482685,0.0,0.0,126.0,0.0,0.0,26229.994674517315,0.0,0.0,0.0,174513.0,13437.41167132402,0.0,0.0,440.58832867597994,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6623.5,53.75133137067132,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228621.40239776453,6703559613.294447,6720.751331370671,0.145439564607464
0.0,0.0,19943.5,0.0,0.0,374.0,0.0,0.0,11.0,0.0,0.0,0.0,46165.5,1207.4142447427246,0.0,0.0,2497.6065481971955,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,77546.0,0.0,0.0,1059.0,0.0,0.0,11.0,0.0,0.0,0.0,174513.0,4762.594868851523,0.0,0.0,9115.405131148476,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6312.5,6693.0,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232785.3144629513,6703559613.294446,13049.0,0.22977419381248398
0.0,0.0,13331.0,0.0,0.0,63.0,0.0,0.0,6704.0,0.0,0.0,0.0,45409.5,3040.37615052299,0.0,0.0,698.0741590635134,0.0,0.0,0.0,11670.5,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,51706.0,0.0,0.0,189.0,0.0,0.0,26434.0,0.0,0.0,0.0,174800.0,11992.63626125659,0.0,0.0,1885.36373874341,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6480.0,0.0,0.0,187.0,0.0,0.0,0.0,986.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229314.89459459687,6703559613.294445,7653.5,0.14435912251366034
0.0,0.0,18767.52035405337,0.0,0.0,0.0,0.0,0.0,1956.959291893265,0.0,0.0,0.0,45505.0,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,11153.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17439.52035405338,0.0,0.0,73998.08141621348,0.0,0.0,0.0,0.0,0.0,5870.877875679795,0.0,0.0,0.0,174740.04070810677,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,38083.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6543.0,5649.520354053368,0.0,187.0,913.4796459466324,79.0,125.47964594661889,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235071.36000000002,6703559613.294447,15446.47964594662,0.21658117441062563
0.0,0.0,18464.977409601834,0.0,0.0,0.0,0.0,0.0,2134.0225903981664,0.0,0.0,0.0,45505.0,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,11153.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13407.5,0.0,0.0,0.0,17923.5,0.0,0.0,72787.90963840733,0.0,0.0,0.0,0.0,0.0,6830.090361592665,0.0,0.0,0.0,174991.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,38083.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,50938.0,0.0,0.0,0.0,68722.0,6543.0,5346.977409601834,0.0,187.0,788.0,79.0,0.0,1949.0,0.0,0.0,0.0,0.0,0.0,358.5,0.0,235071.36000000002,6703559613.294448,15251.477409601834,0.2141435170615984
0.0,0.0,18464.977409601834,0.0,0.0,0.0,0.0,0.0,2134.0225903981664,0.0,0.0,0.0,45505.0,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,11153.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13407.5,0.0,0.0,0.0,17923.5,0.0,0.0,72787.90963840733,0.0,0.0,0.0,0.0,0.0,6830.090361592665,0.0,0.0,0.0,174991.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,38083.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,50938.0,0.0,0.0,0.0,68722.0,6543.0,5346.977409601834,0.0,187.0,788.0,79.0,0.0,1949.0,0.0,0.0,0.0,0.0,0.0,358.5,0.0,235071.36000000002,6703559613.294448,15251.477409601834,0.2141435170615984
0.0,0.0,18677.40627177156,0.0,0.0,0.0,0.0,0.0,2137.1874564568793,0.0,0.0,0.0,45426.00000000001,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,11074.0,0.0,0.0,0.0,16069.5,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17538.90627177157,0.0,0.0,73637.62508708624,0.0,0.0,0.0,0.0,0.0,6411.562369370638,0.0,0.0,0.0,174559.81254354317,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,38083.0,0.0,0.0,0.0,63281.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68226.0,6543.0,5559.406271771561,0.0,187.0,1003.5937282284397,0.0,136.59372822842718,1870.0,0.0,0.0,110.5,0.0,0.0,0.0,0.0,235071.35999999996,6703559613.294445,15410.093728228427,0.21483257034861158
0.0,0.0,17419.550716580197,0.0,0.0,0.0,0.0,0.0,2970.9492834198013,0.0,0.0,0.0,45713.5,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,11361.5,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13162.5,0.0,0.0,0.0,17960.0,0.0,0.0,68606.20286632079,0.0,0.0,0.0,0.0,0.0,10594.797133679207,0.0,0.0,0.0,175408.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,38083.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,6543.0,4301.550716580197,0.0,187.0,579.5,79.0,208.5,2157.5,0.0,0.0,0.0,0.0,0.0,603.5,0.0,235071.35999999993,6703559613.294448,14659.550716580197,0.19784445272607476
4527.505879398062,0.0,6720.458199276829,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,743.8056718243874,0.0,25216.19432817561,0.0,0.0,26309.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234714.33327752433,6703559613.294448,43.5,0.07660009000786405
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,5489.500517097702,0.0,0.0,43271.32911174597,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25960.0,0.0,0.0,26309.0,0.0,0.0,26434.0,12808.760298239715,0.0,0.0,161617.2397017603,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228923.15505684496,6703559613.294447,43.5,0.07660009000786405
0.0,0.0,6902.462290636025,4481.295527867797,0.0,6644.9783967634885,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25944.075418727953,281.20877642567785,0.0,26043.71580484637,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,35.53770936397534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234936.3797873157,6703559613.294447,35.53770936397534,0.07662244486617042
0.0,0.0,6894.5,0.0,0.0,6686.5,4858.2066741504095,0.0,5580.705860814378,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25873.0,0.0,0.0,26396.0,5529.523793884311,0.0,20904.476206115687,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232417.18857893557,6703559613.294446,43.5,0.07672222023153719
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,5668.694266157974,0.0,0.0,14112.407179625652,0.0,0.0,25810.0,0.0,0.0,26459.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,14949.236868591744,0.0,0.0,53055.763131408254,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227895.72630307596,6703559613.294448,43.5,0.07681065935902476
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,5794.807502912806,0.0,0.0,0.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,14173.878061676114,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25960.0,0.0,0.0,26309.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,21902.487753295547,0.0,0.0,0.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,55477.51224670446,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.1219383238868,0.0,0.0,0.0,0.0,0.0,224558.16587841816,6703559613.294447,2049.6219383238868,0.07841766383740878
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,5264.646941557504,0.0,0.0,8393.32910414688,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25960.0,0.0,0.0,26309.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,10828.79549043905,0.0,0.0,28734.20450956095,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229873.5381645893,6703559613.294446,43.5,0.07660009000786405
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,5415.347384239547,0.0,0.0,13453.066120895595,0.0,0.0,0.0,13766.0,0.0,0.0,0.0,17565.0,0.0,0.0,25810.0,0.0,0.0,26459.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,10024.850644334303,0.0,0.0,53477.14935566569,0.0,0.0,0.0,51655.0,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230259.43169071956,6703559613.294446,43.5,0.07681065935902476
0.0,0.0,6894.5,0.0,0.0,6686.5,0.0,0.0,6704.0,0.0,0.0,0.0,46209.0,0.0,0.0,0.0,3683.0,0.0,0.0,0.0,10684.0,0.0,0.0,0.0,16180.0,5816.286192732465,0.0,0.0,9891.038738308645,0.0,0.0,0.0,17565.0,0.0,0.0,25810.0,0.0,0.0,26459.0,0.0,0.0,26434.0,0.0,0.0,0.0,174426.0,0.0,0.0,0.0,13878.0,0.0,0.0,0.0,39563.0,0.0,0.0,0.0,63502.0,18123.626634827415,0.0,0.0,33531.373365172585,0.0,0.0,0.0,68005.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226372.0192152829,6703559613.294448,43.5,0.07681065935902476
0.0,0.0,7688.0,0.0,0.0,6655.0,0.0,0.0,0.0,0.0,0.0,0.0,49636.99250916793,0.0,0.0,0.0,3604.0,0.0,0.0,0.0,7212.50749083207,0.0,0.0,0.0,16180.0,0.0,0.0,0.0,19751.5,0.0,0.0,0.0,17644.0,0.0,0.0,25962.0,0.0,0.0,26309.0,0.0,0.0,0.0,0.0,0.0,0.0,193801.97003667173,0.0,0.0,0.0,14036.0,0.0,0.0,0.0,20274.029963328278,0.0,0.0,0.0,63502.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,67847.0,31.5,718.5,0.0,43.5,0.0,0.0,0.0,8114.492509167932,0.0,0.0,0.0,7192.5,0.0,0.0,79.0,235071.36000000002,6703559613.294445,16179.492509167932,0.16142836869834243
